iter	Passed	Remaining
403	6763	9978
404	6780	9961
405	6795	9942
406	6811	9924
407	6828	9907
408	6843	9889
409	6859	9870
410	6874	9851
411	6891	9834
412	6906	9816
413	6922	9798
414	6939	9781
415	6954	9762
416	6970	9744
417	6986	9727
418	7002	9709
419	7020	9694
420	7036	9677
421	7051	9658
422	7067	9640
423	7083	9622
424	7099	9604
425	7116	9588
426	7132	9571
427	7148	9553
428	7164	9536
429	7178	9516
430	7194	9498
431	7211	9481
432	7225	9461
433	7242	9444
434	7259	9428
435	7275	9411
436	7290	9392
437	7307	9376
438	7324	9359
439	7340	9342
440	7355	9323
441	7371	9306
442	7387	9288
443	7402	9270
444	7419	9253
445	7435	9235
446	7452	9219
447	7468	9201
448	7483	9183
449	7501	9168
450	7518	9152
451	7534	9134
452	7548	9115
453	7563	9096
454	7582	9082
455	7597	9064
456	7614	9047
457	7631	9031
458	7646	9012
459	7663	8995
460	7679	8978
461	7696	8962
462	7711	8944
463	7727	8926
464	7744	8910
465	7759	8891
466	7776	8875
467	7793	8859
468	7809	8841
469	7824	8823
470	7841	8806
471	7856	8789
472	7873	8772
473	7888	8753
474	7902	8734
475	7918	8717
476	7934	8699
477	7952	8684
478	7968	8666
479	7984	8650
480	8000	8632
481	8016	8614
482	8033	8598
483	8049	8581
484	8066	8565
485	8081	8547
486	8097	8530
487	8113	8512
488	8130	8496
489	8149	8481
490	8167	8466
491	8203	8470
492	8229	8462
493	8258	8458
494	8273	8441
495	8289	8423
496	8305	8405
497	8321	8388
498	8337	8371
499	8353	8353
500	8368	8335
501	8383	8317
502	8399	8299
503	8414	8280
504	8431	8264
505	8446	8246
506	8461	8228
507	8476	8209
508	8492	8192
509	8509	8176
510	8525	8158
511	8541	8141
512	8558	8124
513	8576	8109
514	8592	8092
515	8607	8074
516	8624	8057
517	8641	8040
518	8656	8022
519	8672	8005
520	8688	7987
521	8703	7969
522	8718	7952
523	8734	7934
524	8750	7916
525	8767	7900
526	8783	7883
527	8800	7866
528	8816	7849
529	8832	7832
530	8846	7813
531	8862	7796
532	8878	7779
533	8894	7761
534	8909	7743
535	8924	7725
536	8939	7707
537	8955	7690
538	8972	7674
539	8988	7656
540	9006	7641
541	9023	7624
542	9038	7607
543	9054	7589
544	9070	7572
545	9086	7555
546	9103	7539
547	9120	7522
548	9136	7505
549	9153	7489
