iter	RMSE
349	38.80769637
350	38.80719134
351	38.80671764
352	38.80589406
353	38.80524272
354	38.8047222
355	38.80423737
356	38.80353697
357	38.8030098
358	38.80238682
359	38.8017463
360	38.80123559
361	38.80063956
362	38.79973158
363	38.79905745
364	38.7984822
365	38.7979997
366	38.79746157
367	38.79679373
368	38.796198
369	38.79565213
370	38.7951291
371	38.79464294
372	38.79393524
373	38.79340707
374	38.79283892
375	38.79216003
376	38.79160719
377	38.79105259
378	38.79066123
379	38.79018801
380	38.78953295
381	38.78907294
382	38.78860072
383	38.78800609
384	38.78765963
385	38.78711494
386	38.78654197
387	38.78610326
388	38.78550612
389	38.78503088
390	38.78437689
391	38.78394435
392	38.78336954
393	38.78272203
394	38.78224328
395	38.78170222
396	38.78120933
397	38.78077057
398	38.78002666
399	38.77937725
400	38.77880869
401	38.77832753
402	38.77780021
403	38.77726742
404	38.77670042
405	38.77619962
406	38.77569412
407	38.77501064
408	38.77447383
409	38.77373043
410	38.77325092
411	38.77266456
412	38.77205769
413	38.77156636
414	38.77084953
415	38.77021628
416	38.76968037
417	38.76901961
418	38.76846962
419	38.76796551
420	38.76731341
421	38.76690681
422	38.76639763
423	38.76585809
424	38.76509354
425	38.76452714
426	38.76395758
427	38.76321002
428	38.76255771
429	38.76188997
430	38.7613125
431	38.76080429
432	38.76040976
433	38.75985707
434	38.75932619
435	38.75865032
436	38.7581534
437	38.75748131
438	38.75701123
439	38.75646948
440	38.75579304
441	38.75519767
442	38.75466952
443	38.75417761
444	38.75371851
445	38.75304398
446	38.75256758
447	38.75186705
448	38.75112581
449	38.75038215
450	38.74978448
451	38.74930686
452	38.74884683
453	38.74839838
454	38.74791687
455	38.74754008
456	38.74704194
457	38.74656886
458	38.74601809
459	38.74541122
460	38.74467397
461	38.74408452
462	38.74371771
463	38.74293891
464	38.74231639
465	38.74192069
466	38.74140155
467	38.74079143
468	38.74040562
469	38.73965806
470	38.73896663
471	38.73845338
472	38.73799546
473	38.73759645
474	38.73723623
475	38.73675927
476	38.73613829
477	38.73568135
478	38.73510559
479	38.73455147
480	38.73394947
481	38.7332846
482	38.73276197
483	38.73220887
484	38.73175234
485	38.73110104
486	38.73058251
487	38.73002246
488	38.7294067
489	38.72881783
490	38.72832256
491	38.72756518
492	38.72705479
493	38.72648232
494	38.72586569
495	38.7253591
496	38.72507706
497	38.72462951
498	38.72411152
499	38.72343506
500	38.7228784
501	38.72261743
502	38.72215415
503	38.72183652
504	38.72125318
505	38.7208445
506	38.72051177
507	38.71985132
508	38.71945634
509	38.71886027
510	38.71835644
511	38.7179398
512	38.71742472
513	38.71676433
514	38.71624034
515	38.71560036
516	38.71510983
517	38.71437747
518	38.71390444
519	38.71353498
520	38.71296039
521	38.71256351
522	38.71185756
523	38.71147503
524	38.71092745
525	38.71031569
526	38.70989306
527	38.70928159
528	38.70879219
529	38.70824368
530	38.70791977
531	38.70738822
532	38.70693452
533	38.70638331
534	38.70590151
535	38.70550145
536	38.70506874
537	38.70465172
538	38.70396241
539	38.70351139
540	38.70295188
541	38.70223227
542	38.70169221
543	38.70089209
544	38.70037266
545	38.69982393
546	38.69934255
547	38.6986723
548	38.6983865
549	38.69791738
550	38.69728315
551	38.69683957
552	38.69628755
553	38.69570718
554	38.69527542
555	38.69474623
556	38.69414365
557	38.6935784
558	38.6929458
559	38.69255453
560	38.69179176
561	38.69119725
562	38.69069052
563	38.69013346
564	38.68965397
565	38.6890816
566	38.6886254
567	38.6881345
568	38.68757153
569	38.68707097
570	38.68667134
571	38.68609123
572	38.68547166
573	38.68503081
574	38.68453781
575	38.68387545
576	38.68326481
577	38.6825736
578	38.68211081
579	38.68162446
580	38.68109813
581	38.68055166
582	38.68020511
583	38.67975502
584	38.67931515
585	38.67892301
586	38.67846142
587	38.6780961
588	38.67749798
589	38.67696344
590	38.67628686
591	38.67570416
592	38.67535535
593	38.67482396
594	38.6741698
595	38.67378937
596	38.67324574
597	38.67286771
598	38.67255987
599	38.67208772
600	38.67165851
601	38.67101555
602	38.6705151
603	38.66999282
604	38.66954053
605	38.66906498
606	38.66844571
607	38.66767705
608	38.66711034
609	38.66664814
610	38.6661607
611	38.66574832
612	38.66543101
613	38.66493552
614	38.66451654
615	38.6640756
616	38.66361675
617	38.66330589
618	38.66259706
619	38.66210028
620	38.66153661
621	38.66100042
622	38.66042442
623	38.65996168
624	38.65932343
625	38.65865665
626	38.65808788
627	38.65762712
628	38.65692057
629	38.65615475
630	38.65564795
631	38.6550687
632	38.65445297
633	38.6538234
634	38.65332274
635	38.65272141
636	38.65221705
637	38.65172518
638	38.65119175
639	38.65076694
640	38.65029614
641	38.64987145
642	38.64937608
643	38.64880141
644	38.64834589
645	38.64788116
646	38.64742472
647	38.64702555
648	38.64656319
649	38.64606976
650	38.64556843
651	38.64515539
652	38.64470026
653	38.64419734
654	38.64365054
655	38.64326053
656	38.64257002
657	38.64206527
658	38.6414927
659	38.64085197
660	38.64027651
661	38.63978985
662	38.63920702
663	38.63875258
664	38.63803133
665	38.63764469
666	38.63705145
667	38.63646484
668	38.63608105
669	38.63554492
670	38.63510896
671	38.63464311
672	38.63404978
673	38.6334823
674	38.63298807
675	38.63238633
676	38.63194183
677	38.63130699
678	38.63065873
679	38.63024693
680	38.62980816
681	38.62937132
682	38.62903229
683	38.62857067
684	38.62800699
685	38.62758148
686	38.62695616
687	38.62643461
688	38.62593275
689	38.62548802
690	38.6251375
691	38.62458132
692	38.62381836
693	38.62329976
694	38.62294814
695	38.62232592
696	38.62181002
697	38.62136367
698	38.62104358
699	38.62045159
700	38.62011352
701	38.61964736
702	38.61920622
703	38.61860279
704	38.6181901
705	38.61761145
706	38.61712595
707	38.6166499
708	38.61623507
709	38.61573379
710	38.61511901
711	38.61465229
712	38.6140917
713	38.61367723
714	38.61322832
715	38.61256963
716	38.61214945
717	38.61154935
718	38.61095911
719	38.6104815
720	38.61004021
721	38.60965464
722	38.60924341
723	38.60884415
724	38.60830595
725	38.60783004
726	38.60737731
727	38.60688913
728	38.60639968
729	38.60591964
730	38.60551178
731	38.6051404
732	38.60467344
733	38.60409626
734	38.6033628
735	38.60302167
736	38.60237449
737	38.60193231
738	38.60145176
739	38.60084072
740	38.60031412
741	38.59981873
742	38.59921605
743	38.59873526
744	38.59830416
745	38.59781542
746	38.59720725
747	38.59678709
748	38.59641455
749	38.59587461
750	38.59507146
751	38.59457795
752	38.59415844
753	38.59354604
754	38.59301326
755	38.59278389
756	38.59218808
757	38.59166857
758	38.59124944
759	38.59076056
760	38.5902634
761	38.58987485
762	38.5894571
763	38.58908895
764	38.58862074
765	38.58803456
766	38.58762993
767	38.58723532
768	38.58663642
769	38.58612817
770	38.58543979
771	38.58501316
772	38.58465769
773	38.58429221
774	38.58370326
775	38.58313632
776	38.58274084
777	38.58222691
778	38.58185985
779	38.58146123
780	38.58096693
781	38.5803607
782	38.5799247
783	38.57951376
784	38.57908863
785	38.57860867
786	38.57828041
787	38.57796307
788	38.57729546
789	38.57681015
790	38.57637194
791	38.57581975
792	38.57551675
793	38.57501649
794	38.57443643
795	38.57410367
796	38.57357504
797	38.57307579
798	38.57248726
799	38.57198948
800	38.5713176
801	38.5707665
802	38.57044157
803	38.57014207
804	38.5696299
805	38.5689662
806	38.56857655
807	38.56815834
808	38.56761418
809	38.56717445
810	38.56671917
811	38.56627129
812	38.56590027
813	38.56541423
814	38.56497065
815	38.5645842
816	38.56424363
817	38.56376987
818	38.56332664
819	38.56291343
820	38.56235305
821	38.56180477
822	38.56140142
823	38.56100793
824	38.5604899
825	38.55997663
826	38.55963711
827	38.55906707
828	38.55864231
829	38.55808824
830	38.55762172
831	38.55716268
832	38.55673074
833	38.55624785
834	38.55573606
835	38.55529522
836	38.55492687
837	38.55447117
838	38.55387687
839	38.55346481
840	38.55299998
841	38.55253376
842	38.55192107
843	38.55155106
844	38.55106714
845	38.5504597
846	38.54994662
847	38.54947921
848	38.54903262
849	38.54857201
850	38.54815043
851	38.5477625
852	38.54736498
853	38.54709772
854	38.54655811
855	38.54606252
